Author,Book,Year,Epoch,Genre_Primary,Genre_Secondary,Form,Remarks,source
Nevil Shute,On the Beach,1957,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Chinua Achebe,Things Fall Apart,1958,Late 20th Century (1950–2000),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Truman Capote,Breakfast at Tiffanys,1958,Late 20th Century (1950–2000),Romance / Domestic Fiction,Literary / Realist Fiction,Novel,,sparknotes
Mary Renault,The King Must Die,1958,Late 20th Century (1950–2000),Fantasy / Adventure,Literary / Realist Fiction,Novel,Historical-mythological,sparknotes
Elizabeth George Speare,The Witch of Blackbird Pond,1958,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Leon Uris,Exodus,1958,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
T H White,The Once and Future King,1958,Late 20th Century (1950–2000),Fantasy / Adventure,Comedy / Satire,Novel,,sparknotes
Pat Frank,Alas Babylon,1959,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Shirley Jackson,The Haunting of Hill House,1959,Late 20th Century (1950–2000),Mystery / Thriller,Literary / Realist Fiction,Novel,Gothic horror –> Mystery/Thriller,sparknotes
John Knowles,A Separate Peace,1959,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Tragedy / Drama,Novel,,sparknotes
Chinua Achebe,No Longer At Ease,1960,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Harper Lee,To Kill a Mockingbird,1960,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Scott ODell,Island of the Blue Dolphins,1960,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Robert A Heinlein,Stranger in a Strange Land,1961,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Joseph Heller,Catch 22,1961,Late 20th Century (1950–2000),Comedy / Satire,Literary / Realist Fiction,Novel,,sparknotes
Norton Juster,The Phantom Tollbooth,1961,Late 20th Century (1950–2000),Fantasy / Adventure,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Wilson Rawls,Where the Red Fern Grows,1961,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
J D Salinger,Franny and Zooey,1961,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Ray Bradbury,Something Wicked This Way Comes,1962,Late 20th Century (1950–2000),Fantasy / Adventure,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Anthony Burgess,A Clockwork Orange,1962,Late 20th Century (1950–2000),Science Fiction / Dystopia,Tragedy / Drama,Novel,,sparknotes
Philip K Dick,The Man in the High Castle,1962,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Ken Kesey,One Flew Over the Cuckoos Nest,1962,Late 20th Century (1950–2000),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Madeleine LEngle,A Wrinkle in Time,1962,Late 20th Century (1950–2000),Fantasy / Adventure,Science Fiction / Dystopia,Novel,Children's sci-fi fantasy,sparknotes
Alexander Solzhenitsyn,One Day in the Life of Ivan Denisovich,1962,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Hal Borland,When the Legends Die,1963,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Sylvia Plath,The Bell Jar,1963,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Kurt Vonnegut,Cats Cradle,1963,Late 20th Century (1950–2000),Comedy / Satire,Science Fiction / Dystopia,Novel,,sparknotes
Saul Bellow,Herzog,1964,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Roald Dahl,Charlie and the Chocolate Factory,1964,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
Joanne Greenberg,I Never Promised You a Rose Garden,1964,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Irene Hunt,Across Five Aprils,1964,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Frank Herbert,Dune,1965,Late 20th Century (1950–2000),Science Fiction / Dystopia,Fantasy / Adventure,Novel,Space opera / sci-fi epic,sparknotes
Shsaku Endo,Silence,1966,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Thomas Pynchon,The Crying of Lot 49,1966,Late 20th Century (1950–2000),Literary / Realist Fiction,Mystery / Thriller,Novel,,sparknotes
Jean Rhys,Wide Sargasso Sea,1966,Late 20th Century (1950–2000),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
S E Hinton,The Outsiders,1967,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Tragedy / Drama,Novel,,sparknotes
Robert Lipsyte,The Contender,1967,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Gabriel Garcia Marquez,One Hundred Years of Solitude,1967,Late 20th Century (1950–2000),Literary / Realist Fiction,Fantasy / Adventure,Novel,Magical Realism; borderline Literary/Fantasy,sparknotes
Chaim Potok,The Chosen,1967,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Arthur C Clarke,2001 A Space Odyssey,1968,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Philip K Dick,Do Androids Dream of Electric Sheep,1968,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Paul Zindel,The Pigman,1968,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
William Armstrong,Sounder,1969,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Kurt Vonnegut,Slaughterhouse Five,1969,Late 20th Century (1950–2000),Comedy / Satire,Science Fiction / Dystopia,Novel,,sparknotes
Toni Morrison,The Bluest Eye,1970,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Glendon Swarthout,Bless the Beasts and Children,1970,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Anonymous,Go Ask Alice,1971,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,YA diary novel,sparknotes
Ernest J Gaines,The Autobiography of Miss Jane Pittman,1971,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
John Gardner,Grendel,1971,Late 20th Century (1950–2000),Literary / Realist Fiction,Fantasy / Adventure,Novel,Postmodern retelling of Beowulf,sparknotes
Richard Adams,Watership Down,1972,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
Rudolfo A Anaya,Bless Me Ultima,1972,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Chaim Potok,My Name Is Asher Lev,1972,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
William Goldman,The Princess Bride,1973,Late 20th Century (1950–2000),Fantasy / Adventure,Romance / Domestic Fiction,Novel,,sparknotes
Toni Morrison,Sula,1973,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Iris Murdoch,The Black Prince,1973,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
James Baldwin,If Beale Street Could Talk,1974,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Christopher and James Lincoln Collier,My Brother Sam Is Dead,1974,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Robert Cormier,The Chocolate War,1974,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Tragedy / Drama,Novel,,sparknotes
Stephen King,Carrie,1974,Late 20th Century (1950–2000),Mystery / Thriller,Science Fiction / Dystopia,Novel,"Horror, closest category is Mystery/Thriller",sparknotes
Michael Shaara,The Killer Angels,1974,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Judy Blume,Forever,1975,Late 20th Century (1950–2000),Romance / Domestic Fiction,,Novel,YA contemporary romance; Blume,sparknotes
E L Doctorow,Ragtime,1975,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
William Kennedy,Legs,1975,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Judith Guest,Ordinary People,1976,Late 20th Century (1950–2000),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Mildred D Taylor,Roll of Thunder Hear My Cry,1976,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Robert Cormier,I Am the Cheese,1977,Late 20th Century (1950–2000),Mystery / Thriller,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Toni Morrison,Song of Solomon,1977,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Katherine Paterson,Bridge to Terabithia,1977,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Tragedy / Drama,Novel,,sparknotes
Leslie Marmon Silko,Ceremony,1977,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Octavia E Butler,Kindred,1979,Late 20th Century (1950–2000),Science Fiction / Dystopia,Literary / Realist Fiction,Novel,,sparknotes
VS Naipaul,A Bend in the River,1979,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
William Styron,Sophies Choice,1979,Late 20th Century (1950–2000),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Joy Kogawa,Obasan,1981,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Gabriel Garcia Marquez,Chronicle of a Death Foretold,1981,Late 20th Century (1950–2000),Mystery / Thriller,Literary / Realist Fiction,Novel,Crime/mystery structure with literary quality,sparknotes
Toni Morrison,Tar Baby,1981,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Salman Rushdie,Midnights Children,1981,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,Magical Realism,sparknotes
Todd Strasser,The Wave,1981,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Cynthia Voigt,Homecoming,1981,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Isabel Allende,The House of the Spirits,1982,Late 20th Century (1950–2000),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,Magical Realism,sparknotes
Cynthia Voigt,Diceys Song,1982,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Alice Walker,The Color Purple,1982,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Sandra Cisneros,The House on Mango Street,1983,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Ernest J Gaines,A Gathering of Old Men,1983,Late 20th Century (1950–2000),Literary / Realist Fiction,Mystery / Thriller,Novel,,sparknotes
Olive Anne Burns,Cold Sassy Tree,1984,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Louise Erdrich,Love Medicine,1984,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Milan Kundera,The Unbearable Lightness of Being,1984,Late 20th Century (1950–2000),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Margaret Atwood,The Handmaids Tale,1985,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Orson Scott Card,Enders Game,1985,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Don DeLillo,White Noise,1985,Late 20th Century (1950–2000),Literary / Realist Fiction,Comedy / Satire,Novel,,sparknotes
Jamaica Kincaid,Annie John,1985,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Gabriel Garcia Marquez,Love in the Time of Cholera,1985,Late 20th Century (1950–2000),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,Magical Realism; romance is secondary to literary quality,sparknotes
Gary Paulsen,Hatchet,1986,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Michael Dorris,A Yellow Raft in Blue Water,1987,Late 20th Century (1950–2000),Romance / Domestic Fiction,,Novel,,sparknotes
Kaye Gibbons,Ellen Foster,1987,Late 20th Century (1950–2000),Romance / Domestic Fiction,,Novel,,sparknotes
Toni Morrison,Beloved,1987,Late 20th Century (1950–2000),Literary / Realist Fiction,Tragedy / Drama,Novel,Magical Realism/historical,sparknotes
Margaret Atwood,Cats Eye,1988,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Paulo Coelho,The Alchemist,1988,Late 20th Century (1950–2000),Literary / Realist Fiction,Fantasy / Adventure,Novel,Philosophical quest; Magical Realism,sparknotes
Roald Dahl,Matilda,1988,Late 20th Century (1950–2000),Fantasy / Adventure,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Barbara Kingsolver,The Bean Trees,1988,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Walter Dean Myers,Fallen Angels,1988,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Bryce Courtenay,The Power of One,1989,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Laura Esquivel,Like Water for Chocolate,1989,Late 20th Century (1950–2000),Romance / Domestic Fiction,Literary / Realist Fiction,Novel,Magical Realism romance; romance is primary,sparknotes
John Irving,A Prayer for Owen Meany,1989,Late 20th Century (1950–2000),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Kazuo Ishiguro,The Remains of the Day,1989,Late 20th Century (1950–2000),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Lois Lowry,Number the Stars,1989,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Alan Moore,V for Vendetta,1989,Late 20th Century (1950–2000),Science Fiction / Dystopia,Mystery / Thriller,Other,Graphic novel; Form=Other,sparknotes
Suzanne Fisher Staples,Shabanu,1989,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Amy Tan,The Joy Luck Club,1989,Late 20th Century (1950–2000),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Michael Crichton,Jurassic Park,1990,Late 20th Century (1950–2000),Science Fiction / Dystopia,Mystery / Thriller,Novel,Techno-thriller/sci-fi,sparknotes
Barbara Kingsolver,Animal Dreams,1990,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Tim OBrien,The Things They Carried,1990,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,Short story cycle about Vietnam,sparknotes
Julia Alvarez,How the Garcia Girls Lost Their Accents,1991,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Pat Barker,Regeneration,1991,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Jane Smiley,A Thousand Acres,1991,Late 20th Century (1950–2000),Literary / Realist Fiction,Tragedy / Drama,Novel,King Lear adaptation,sparknotes
Amy Tan,The Kitchen Gods Wife,1991,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Stephen E Ambrose,Band of Brothers,1992,Late 20th Century (1950–2000),Literary / Realist Fiction,,Other,Non-fiction military history; Form=Other,sparknotes
Cormac McCarthy,All the Pretty Horses,1992,Late 20th Century (1950–2000),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Toni Morrison,Jazz,1992,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Michael Ondaatje,The English Patient,1992,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Donna Tartt,The Secret History,1992,Late 20th Century (1950–2000),Mystery / Thriller,Literary / Realist Fiction,Novel,Dark academia mystery,sparknotes
Octavia E Butler,Parable of the Sower,1993,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Jeffrey Eugenides,The Virgin Suicides,1993,Late 20th Century (1950–2000),Literary / Realist Fiction,Mystery / Thriller,Novel,,sparknotes
Ernest J Gaines,A Lesson Before Dying,1993,Late 20th Century (1950–2000),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Barbara Kingsolver,Pigs in Heaven,1993,Late 20th Century (1950–2000),Romance / Domestic Fiction,,Novel,,sparknotes
Lois Lowry,The Giver,1993,Late 20th Century (1950–2000),Science Fiction / Dystopia,,Novel,,sparknotes
Rodman Philbrick,Freak the Mighty,1993,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Annie Proulx,The Shipping News,1993,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Andrzej Sapkowski,The Last Wish,1993,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
Julia Alvarez,In the Time of The Butterflies,1994,Late 20th Century (1950–2000),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Sharon Creech,Walk Two Moons,1994,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Edwidge Danticat,Breath Eyes Memory,1994,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Other,,sparknotes
David Guterson,Snow Falling on Cedars,1994,Late 20th Century (1950–2000),Mystery / Thriller,Literary / Realist Fiction,Novel,,sparknotes
Tim OBrien,In the Lake of the Woods,1994,Late 20th Century (1950–2000),Mystery / Thriller,Literary / Realist Fiction,Novel,,sparknotes
Christopher Paul Curtis,The Watsons Go to Birmingham1963,1995,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Helena Maria Viramontes,Under the Feet of Jesus,1995,Late 20th Century (1950–2000),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Margaret Atwood,Alias Grace,1996,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
George RR Martin,A Game of Thrones,1996,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
Edward Bloor,Tangerine,1997,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Anita Diamant,The Red Tent,1997,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Charles Frazier,Cold Mountain,1997,Late 20th Century (1950–2000),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
J K Rowling,Harry Potter and the Sorcerers Stone,1997,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
Arundhati Roy,The God of Small Things,1997,Late 20th Century (1950–2000),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Michael Cunningham,The Hours,1998,Late 20th Century (1950–2000),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Barbara Kingsolver,The Poisonwood Bible,1998,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
George RR Martin,A Clash of Kings,1998,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
J K Rowling,Harry Potter and the Chamber of Secrets,1998,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
Louis Sachar,Holes,1998,Late 20th Century (1950–2000),Mystery / Thriller,Fantasy / Adventure,Novel,,sparknotes
Daniel Wallace,Big Fish,1998,Late 20th Century (1950–2000),Literary / Realist Fiction,Fantasy / Adventure,Novel,Magical Realism,sparknotes
Tracy Wolff,Crave,2020,21st Century (2000+),Fantasy / Adventure,Romance / Domestic Fiction,Novel,Paranormal vampire YA romance; fantasy primary,sparknotes
Laurie Halse Anderson,Speak,1999,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
JM Coetzee,Disgrace,1999,Late 20th Century (1950–2000),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Christopher Paul Curtis,Bud Not Buddy,1999,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Changrae Lee,A Gesture Life,1999,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,,sparknotes
Walter Dean Myers,Monster,1999,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,Mystery / Thriller,Novel,,sparknotes
J K Rowling,Harry Potter and the Prisoner of Azkaban,1999,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,,sparknotes
Laurie Halse Anderson,Fever 1793,2000,21st Century (2000+),Literary / Realist Fiction,,Novel,,sparknotes
Margaret Atwood,The Blind Assassin,2000,21st Century (2000+),Mystery / Thriller,,Novel,,sparknotes
Lois Lowry,Gathering Blue,2000,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
George RR Martin,A Storm of Swords,2000,21st Century (2000+),Fantasy / Adventure,,Novel,,sparknotes
Philip Pullman,His Dark Materials,2000,21st Century (2000+),Fantasy / Adventure,Science Fiction / Dystopia,Novel,,sparknotes
Julia Quinn,The Duke and I,2000,21st Century (2000+),Romance / Domestic Fiction,,Novel,,sparknotes
J K Rowling,Harry Potter and the Goblet of Fire,2000,21st Century (2000+),Fantasy / Adventure,,Novel,,sparknotes
Pam Muoz Ryan,Esperanza Rising,2000,21st Century (2000+),Tragedy / Drama,,Novel,,sparknotes
Zadie Smith,White Teeth,2000,21st Century (2000+),Romance / Domestic Fiction,,Novel,,sparknotes
Mildred D Taylor,The Land,2001,21st Century (2000+),Literary / Realist Fiction,,Novel,,sparknotes
Ann Brashares,The Sisterhood of the Traveling Pants,2001,21st Century (2000+),Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
Sue Monk Kidd,The Secret Life of Bees,2001,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Yann Martel,Life of Pi,2001,21st Century (2000+),Literary / Realist Fiction,Fantasy / Adventure,Novel,Philosophical adventure,sparknotes
Ian McEwan,Atonement,2001,21st Century (2000+),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Ann Patchett,Bel Canto,2001,21st Century (2000+),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Amy Tan,The Bonesetters Daughter,2001,21st Century (2000+),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
MT Anderson,Feed,2002,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
Jeffrey Eugenides,Middlesex,2002,21st Century (2000+),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Alice Sebold,The Lovely Bones,2002,21st Century (2000+),Mystery / Thriller,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Markus Zusak,I Am the Messenger,2002,21st Century (2000+),Coming-of-Age / Bildungsroman,Mystery / Thriller,Novel,,sparknotes
Chimamanda Ngozi Adichie,Purple Hibiscus,2003,21st Century (2000+),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Margaret Atwood,Oryx and Crake,2003,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
Dan Brown,The Da Vinci Code,2003,21st Century (2000+),Mystery / Thriller,,Novel,,sparknotes
Jeanne DuPrau,The City of Ember,2003,21st Century (2000+),Science Fiction / Dystopia,Fantasy / Adventure,Novel,,sparknotes
James Frey,A Million Little Pieces,2003,21st Century (2000+),Literary / Realist Fiction,,Other,Memoir/fiction hybrid; Form=Other,sparknotes
Mark Haddon,The Curious Incident of the Dog in the Night Time,2003,21st Century (2000+),Mystery / Thriller,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Khaled Hosseini,The Kite Runner,2003,21st Century (2000+),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
Jhumpa Lahiri,The Namesake,2003,21st Century (2000+),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
J K Rowling,Harry Potter and the Order of the Phoenix,2003,21st Century (2000+),Fantasy / Adventure,,Novel,,sparknotes
Jodi Picoult,My Sisters Keeper,2004,21st Century (2000+),Literary / Realist Fiction,Mystery / Thriller,Novel,,sparknotes
Margaret Atwood,The Penelopiad,2005,21st Century (2000+),Literary / Realist Fiction,Comedy / Satire,Novel,Myth retelling; novella,sparknotes
Kim Edwards,The Memory Keepers Daughter,2005,21st Century (2000+),Literary / Realist Fiction,,Novel,,sparknotes
Jonathan Safran Foer,Extremely Loud and Incredibly Close,2005,21st Century (2000+),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
John Green,Looking for Alaska,2005,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Kazuo Ishiguro,Never Let Me Go,2005,21st Century (2000+),Science Fiction / Dystopia,Literary / Realist Fiction,Novel,,sparknotes
Stieg Larsson,The Girl With the Dragon Tattoo,2005,21st Century (2000+),Mystery / Thriller,,Novel,,sparknotes
Cormac McCarthy,No Country for Old Men,2005,21st Century (2000+),Mystery / Thriller,Literary / Realist Fiction,Novel,,sparknotes
Stephenie Meyer,Twilight,2005,21st Century (2000+),Romance / Domestic Fiction,Fantasy / Adventure,Novel,,sparknotes
Rick Riordan,The Lightning Thief,2005,21st Century (2000+),Fantasy / Adventure,,Novel,,sparknotes
J K Rowling,Harry Potter and the Half Blood Prince,2005,21st Century (2000+),Fantasy / Adventure,,Novel,,sparknotes
Lisa See,Snow Flower and the Secret Fan,2005,21st Century (2000+),Literary / Realist Fiction,Romance / Domestic Fiction,Novel,,sparknotes
Scott Westerfeld,Uglies,2005,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
Markus Zusak,The Book Thief,2005,21st Century (2000+),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
John Boyne,The Boy in the Striped Pajamas,2006,21st Century (2000+),Coming-of-Age / Bildungsroman,Literary / Realist Fiction,Novel,,sparknotes
John Green,An Abundance of Katherines,2006,21st Century (2000+),Coming-of-Age / Bildungsroman,Romance / Domestic Fiction,Novel,,sparknotes
Cormac McCarthy,The Road,2006,21st Century (2000+),Science Fiction / Dystopia,Literary / Realist Fiction,Novel,,sparknotes
Philip Roth,Everyman,2006,21st Century (2000+),Literary / Realist Fiction,,Novel,,sparknotes
Sherman Alexie,The Absolutely True Diary of a Part Time Indian,2007,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Jay Asher,Thirteen Reasons Why,2007,21st Century (2000+),Coming-of-Age / Bildungsroman,Mystery / Thriller,Novel,,sparknotes
Junot Daz,The Brief Wondrous Life of Oscar Wao,2007,21st Century (2000+),Literary / Realist Fiction,Coming-of-Age / Bildungsroman,Novel,,sparknotes
Khaled Hosseini,A Thousand Splendid Suns,2007,21st Century (2000+),Literary / Realist Fiction,Tragedy / Drama,Novel,,sparknotes
Nora Roberts,Blood Brothers,2007,21st Century (2000+),Romance / Domestic Fiction,Mystery / Thriller,Novel,Paranormal romance,sparknotes
J K Rowling,Harry Potter and the Deathly Hallows,2007,21st Century (2000+),Fantasy / Adventure,,Novel,,sparknotes
Laurie Halse Anderson,Chains,2008,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,,sparknotes
Suzanne Collins,The Hunger Games,2008,21st Century (2000+),Science Fiction / Dystopia,,Novel,,sparknotes
